LABEL,Date,Source,Title,Headline
wildfire,7/15/2023,Lifehacker.com,Use This Phone Number to Find a Cooling Center Near You,even full month into summer much United States already dealt with record setting heat mention intermittent wildfire smoke from Canada Between climate change this type weather expected worse
wildfire,7/28/2023,BBC News,Italy Drone spots suspected wildfire arsonist,detained Italy after seen scene wildfire Calabria
wildfire,7/30/2023,BBC News,Canada wildfire Firefighter dies tackling British Columbia blaze,evacuation order place towns near border fires there swirl control
wildfire,7/18/2023,Google News,Wildfire rages near Athens Reuters,Wildfire rages near Athens Reuters
wildfire,7/23/2023,Google News,Jet TUI cancel flights to Rhodes because of wildfire Reuters,cancel flights Rhodes because wildfire Reuters
wildfire,7/16/2023,Google News,Firefighter killed battling wildfire in Canada s Northwest Territories Reuters,Firefighter killed battling wildfire Canada Northwest Territories Reuters
wildfire,8/3/2023,Google News,Properties destroyed by B C wildfire north of Pemberton CTV News Vancouver,Properties destroyed wildfire north Pemberton News Vancouver Properties lost latest wildfire forces urgent evacuations Properties lost Lake wildfire north Whistler Vancouver
wildfire,7/25/2023,BBC News,Watch raging wildfires shut down Italian airport,Palermo international airport shut down overnight fires burned around perimeter
wildfire,7/17/2023,Google News,Wildfire rages southeast of Greek capital villagers told to evacuate Reuters,Wildfire rages southeast Greek capital villagers told evacuate Reuters
wildfire,7/30/2023,Google News,Evacuation order issued for Canadian town as wildfire crosses over from US Reuters,Evacuation order issued Canadian town wildfire crosses over from Reuters
wildfire,8/4/2023,Google News,Wildfire sets off landmines around Tehran s Evin prison Iran s judiciary says Reuters,Wildfire sets landmines around Tehran Evin prison Iran judiciary says Reuters
wildfire,8/5/2023,Google News,Portugal wildfire rages as strong winds and heat fan flames Reuters,Portugal wildfire rages strong winds heat flames Reuters
wildfire,7/30/2023,Google News,Evacuation alert issued for Osoyoos after U S wildfire crosses border Global News,Evacuation alert issued Osoyoos after wildfire crosses border Global News Evacuation order issued parts Osoyoos growing wildfire crosses Canada border Evacuation alert issued parts southern
wildfire,7/16/2023,Google News,Canada wildfires Firefighter killed in N W T after sustaining injury on the job CTV News,Canada wildfires Firefighter killed after sustaining injury News wildfire fighter dead after fire injury officials News Firefighter dead Northwest Territories killed Canada
wildfire,7/25/2023,Google News,Behchok residents told to evacuate by tonight over wildfire Cabin Radio,Behchok residents told evacuate tonight over wildfire Cabin Radio Behchok ordered evacuate wildfire burning nearby Evacuation Alert Electoral Area Blue Country Stein Mountain
wildfire,7/18/2023,Google News,BC Coroner issues safety alert over wildfire smoke after child s death The Globe and Mail,Coroner issues safety alert over wildfire smoke after child death Globe Mail child died asthma attack made worse wildfire smoke parents News National family says their nine year died
wildfire,7/30/2023,Google News,BC Emergency Alert Evacuation Order for parts of Osoyoos and surrounding area due to wildfire July EmergencyInfoBC Emergency Info BC,Emergency Alert Evacuation Order parts Osoyoos surrounding area wildfire July EmergencyInfoBC Emergency Info Evacuation order issued parts Osoyoos growing wildfire crosses Canada border
wildfire,7/31/2023,Google News,Wildfire that crossed U S border into B C pushed away by shifting winds The Globe and Mail,Wildfire that crossed border into pushed away shifting winds Globe Mail Global National July Wildfire near Osoyoos forces hundreds flee homes Global News Evacuation order issued weste
wildfire,8/3/2023,Google News,Wildfire evacuations Boats provide only escape from B C lakefront community CTV News Vancouver,Wildfire evacuations Boats provide only escape from lakefront community News Vancouver Ross Moore Lake wildfire inches closer Jeune Kamloops This Week Didn have happen Residents evacuated communi
wildfire,8/2/2023,Google News,Smoke visible from wildfire burning south of Summit Lake near Nakusp BC News Castanet net,Smoke visible from wildfire burning south Summit Lake near Nakusp News Castanet Residents near Lake ordered evacuate immediately growing wildfire north Pemberton Jeune Provincial
wildfire,7/18/2023,Google News,Evacuation alert for properties near wildfire north of Lake Okanagan Resort West Kelowna News Castanet net,Evacuation alert properties near wildfire north Lake Okanagan Resort West Kelowna News Castanet Residents safely escape West Kelowna house fire Kelowna Capital News Home burns West Kelowna Smith Creek West
wildfire,7/26/2023,Google News,Ash falls on Behchok Grand Chief says we need to get out Cabin Radio,falls Behchok Grand Chief says need Cabin Radio Responders flee Behchok wildfire extent damage community unclear Evacuation Alert Electoral Area Blue Country Stein
wildfire,7/22/2023,Google News,Emotional memorial held for Devyn Gale in Revelstoke B C CTV News Vancouver,Emotional memorial held Devyn Gale Revelstoke News Vancouver Wherever hope feel love says brother during memorial wildfire fighter Memorial procession service
wildfire,7/31/2023,The Guardian,Huge wildfire explodes in southern California and spreads into Nevada,York fire with zero containment Sunday evening major blazes burning California region faces weatherA huge wildfire burning control California Mojave national preserve spreading rapidly amid erratic winds York
wildfire,7/15/2023,BBC News,Young firefighter killed as Canada battles wildfires,Devyn Gale struck falling tree while clearing brush near Revelstoke British Columbia
wildfire,7/22/2023,Google News,Wildfire on Greek island of Rhodes forces tourist evacuations CTV News,Wildfire Greek island Rhodes forces tourist evacuations NewsView Full Coverage Google News
wildfire,8/1/2023,The Guardian,Firefighters partially contain giant blaze in California s Mojave desert,York fire mapped miles with containment Tuesday Vegas strip smoky hazeFirefighters have managed partially contain giant wildfire Mojave desert that scorched tens thousands acres scrub sent smoke across
